Player,Team,FantPos,Age,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,PPR,PosRank,OvRank,Year,adp,draft_pick,draft_year,Experience,Rookie,Soph,Third
HeathMiller,Steelers,TE,32,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69,4.12,47.56,0.19,10.01,11,70.0,2014,138.1,30,2005,9,0,0,0
StevenJackson,Falcons,RB,31,15,0.0,0.0,0.0,0.0,0.0,12.67,47.13,0.4,1.8,1.33,9.87,0.0,9.43,23,74.0,2014,86.9,24,2004,10,0,0,0
PhilipRivers,Chargers,QB,33,16,23.69,35.62,267.88,1.94,1.12,2.31,6.38,0.0,0.0,0.0,0.0,0.0,16.6,12,75.0,2014,102.3,4,2004,10,0,0,0
JonathanStewart,Panthers,RB,27,13,0.0,0.0,0.0,0.0,0.0,13.46,62.23,0.23,2.38,1.92,13.92,0.08,11.23,24,78.0,2014,143.3,13,2008,6,0,0,0
JoeFlacco,Ravens,QB,29,16,21.5,34.62,249.12,1.69,0.75,2.44,4.38,0.12,0.0,0.0,0.0,0.0,16.4,13,,2014,161.5,18,2008,6,0,0,0
JayCutler,Bears,QB,31,15,24.67,37.4,254.13,1.87,1.2,2.6,12.73,0.13,0.0,0.0,0.0,0.0,17.04,14,,2014,81.8,11,2006,8,0,0,0
MatthewStafford,Lions,QB,26,16,22.69,37.62,266.06,1.38,0.75,2.69,5.81,0.12,0.0,0.0,0.0,0.0,15.72,15,,2014,48.4,1,2009,5,0,0,0
ColinKaepernick,49ers,QB,27,16,18.06,29.88,210.56,1.19,0.62,6.5,39.94,0.06,0.0,0.0,0.0,0.0,15.67,16,,2014,103.6,36,2011,3,0,0,0
CamNewton,Panthers,QB,25,14,18.71,32.0,223.36,1.29,0.86,7.36,38.5,0.36,0.0,0.0,0.0,0.0,17.79,17,,2014,94.5,1,2011,3,0,0,0
AndyDalton,Bengals,QB,27,16,19.31,30.06,212.38,1.19,1.06,3.75,10.56,0.25,0.06,0.06,1.12,0.06,14.1,18,,2014,122.6,35,2011,3,0,0,0
JoshMcCown,Buccaneers,QB,35,11,16.73,29.73,200.55,1.0,1.27,2.27,11.55,0.27,0.0,0.0,0.0,0.0,11.54,28,,2014,153.4,81,2002,12,0,0,0
MarquesColston,Saints,WR,31,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,3.69,56.38,0.31,11.08,33,,2014,65.4,252,2006,8,0,0,0
MichaelFloyd,Cardinals,WR,25,16,0.0,0.0,0.0,0.0,0.0,0.06,0.12,0.0,6.19,2.94,52.56,0.38,10.33,32,,2014,46.3,13,2012,2,0,0,1
BrandonMarshall,Bears,WR,30,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15,4.69,55.46,0.62,13.78,34,,2014,13.9,119,2006,8,0,0,0
BrandonMarshall,Bears,WR,30,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15,4.69,55.46,0.62,13.78,34,,2014,13.9,142,2012,2,0,0,1
DarrenSproles,Eagles,RB,31,15,0.0,0.0,0.0,0.0,0.0,3.8,21.93,0.4,4.13,2.67,25.8,0.0,10.51,26,,2014,77.6,130,2005,9,0,0,0
AhmadBradshaw,Colts,RB,28,10,0.0,0.0,0.0,0.0,0.0,9.0,42.5,0.2,4.7,3.8,30.0,0.6,15.45,27,,2014,124.8,250,2007,7,0,0,0
